Family_ID,Metropolitan,Gender,Family_num,Elder_Household,GrandChild_Household,Single_Household,Multi_Household,Disability_status,Master_EduCode,Master_WithLive,Master_IndustryCode,Manster_Jobcode,Master_Age,Master_EmpCode,Master_MarriCode,Tenancy_Type,Housing_Type,Debt_Holding,Income_code,Assets,Liabilities,Principal_Interest,Spend_Consum,Spend_NonConsum,Master_Retired
710300272,0,1,1,1,0,0,0,0,1,1,22,11,5,4,3,1,3,0,1,11050,0,0,790,9,2
710300282,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,0,1,9801,0,0,455,52,2
710300292,0,1,1,0,0,0,0,0,1,1,10,2,3,1,1,2,1,1,6,21092,7000,240,1620,1163,1
710300312,1,1,1,0,0,0,0,0,3,1,22,11,5,4,1,2,1,0,1,4780,0,0,755,1,1
710300322,1,1,1,0,0,0,0,0,4,1,8,9,1,1,1,2,1,0,3,4300,0,0,1214,350,1
710300342,1,1,3,0,0,0,0,0,4,2,22,11,5,4,2,1,2,0,7,100120,0,0,3729,873,2
710300352,1,2,2,0,0,0,0,0,1,2,22,11,5,4,3,4,2,0,5,260,0,0,1714,488,2
710300362,1,2,2,0,0,0,0,0,4,2,13,2,3,1,1,1,3,0,7,31083,0,0,2448,897,1
710300372,1,2,1,0,0,0,0,0,3,1,9,4,3,2,1,3,1,0,2,450,0,0,1250,672,1
710301152,1,2,1,1,0,0,0,0,1,1,22,11,5,4,3,3,3,0,1,1005,0,0,495,1,2
710301182,1,2,1,0,0,0,0,0,4,1,7,3,1,1,1,3,3,0,2,5800,0,0,982,163,1
710301192,1,1,1,0,0,0,0,0,4,1,18,2,2,3,1,3,3,0,1,13450,0,0,749,25,1
710900121,1,1,3,0,0,0,0,0,3,2,6,8,4,1,2,1,3,0,8,57660,0,0,2490,742,1
710900171,1,1,3,0,0,0,0,0,4,2,13,3,3,1,2,2,3,1,8,43560,7652,259,3618,1141,1
710900191,1,1,3,0,0,0,0,0,2,2,6,9,4,2,4,2,1,0,5,7464,0,240,2320,320,1
710900211,0,1,4,0,0,0,0,0,3,2,22,11,5,4,2,1,2,0,5,17503,0,0,1936,590,2
710900231,0,1,4,0,0,0,0,0,4,2,3,7,3,3,2,1,2,0,5,125370,0,0,3428,803,1
710900251,0,1,4,0,0,0,0,0,4,2,3,3,3,1,2,1,2,0,8,22159,0,0,4556,920,1
710900261,0,1,2,0,0,0,0,0,4,2,3,8,4,1,2,1,1,1,6,44010,11000,1005,4000,888,1
710900301,1,1,2,0,0,0,0,0,4,2,22,11,5,4,2,1,2,1,5,98900,1000,0,3330,493,2
710900311,1,1,3,0,0,0,0,1,3,2,22,11,5,4,2,1,3,0,4,24380,0,0,2020,190,1
710900381,1,2,1,0,0,0,0,0,4,1,16,2,4,1,1,1,2,0,6,78802,0,40,1500,1520,1
711000112,1,1,2,0,0,0,0,1,2,2,22,11,5,4,2,3,1,0,2,5350,0,0,1610,40,2
711000162,1,1,3,0,0,0,0,1,1,2,22,11,5,4,2,1,2,0,5,61580,0,0,1410,327,2
711000172,1,1,2,1,0,0,0,0,2,2,8,8,5,3,2,1,1,0,6,48630,0,0,2100,753,1
711000202,0,2,1,0,0,0,0,0,3,1,14,9,5,1,3,2,2,0,4,18500,0,0,2177,303,1
711000212,0,2,1,0,0,0,0,0,4,1,11,3,2,1,1,2,2,0,3,26320,0,50,1230,305,1
711000242,0,1,1,1,0,0,0,0,1,1,22,11,5,4,1,3,3,0,1,240,0,0,656,0,2
711000252,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,1,2,23200,500,0,1420,14,2
711000352,1,1,2,0,0,0,0,0,3,2,8,9,5,3,2,3,2,0,5,15618,0,520,1910,235,1
711100152,1,1,2,1,0,0,0,1,1,2,22,11,5,4,2,2,1,1,3,117800,2000,0,2545,225,2
711100172,1,1,2,1,0,0,0,0,3,2,22,11,5,4,2,1,2,0,2,87600,0,0,1500,71,2
711100202,0,1,3,0,0,0,0,1,1,2,22,11,5,4,2,1,2,0,4,21840,0,0,1490,1409,2
711100212,0,2,1,0,0,0,0,0,4,1,22,11,4,4,1,1,2,1,3,26570,3670,195,2396,380,1
